phi0,p_ident,true_phi_star,bias,rmse,mc_std,mae_alpha,p_treat,n_reps
-2.5,0.9937903346742238,-0.006012024048096087,0.9976352705410821,2.246979329849442,2.0133653358849384,56.26140730561877,0.90378,200
-2.2222222222222223,0.9868658543089789,-0.006012024048096087,1.3361723446893787,2.2465168158427486,1.8059571614940177,31.303380720403815,0.87628,200
-1.9444444444444444,0.974079060642157,-0.006012024048096087,1.3810220440881764,2.218724096303008,1.7365237485442335,22.619765679432703,0.8451,200
-1.6666666666666665,0.9522096477271853,-0.006012024048096087,1.4143887775551105,2.185626671674729,1.6662737871856812,16.098759260647455,0.81046,200
-1.3888888888888888,0.9175667301260454,-0.006012024048096087,1.4033867735470944,2.1244725370568083,1.5949574052436852,11.435625457850293,0.76946,200
-1.1111111111111112,0.8667397370974946,-0.006012024048096087,1.1948897795591182,1.939698665755089,1.5279624761875648,5.332518210272601,0.72418,200
-0.8333333333333333,0.7976716190363569,-0.006012024048096087,0.8586973947895791,1.6342771502312137,1.390503717344706,3.610546571832842,0.67354,200
-0.5555555555555554,0.7107426392460279,-0.006012024048096087,0.44428857715430853,1.1648293102333176,1.076770626544403,1.7725186998519797,0.6178,200
-0.2777777777777777,0.6094085245664249,-0.006012024048096087,0.3880761523046091,1.08427816260361,1.012450509364043,1.7898785677703417,0.55978,200
0.0,0.5,-0.006012024048096087,0.09366733466933859,0.521617841286804,0.5131389702260467,0.5476978856619099,0.50024,200
0.2777777777777777,0.3905914754335751,-0.006012024048096087,0.07671342685370731,0.4765119792943073,0.47029641350039997,0.6227135997155517,0.44152,200
0.5555555555555558,0.2892573607539719,-0.006012024048096087,-0.006012024048096305,0.04025812194657288,0.039806682221836136,0.3178329166976052,0.38372,200
0.8333333333333335,0.20232838096364303,-0.006012024048096087,-0.03529058116232479,0.0582329006541105,0.04632111397426524,0.1870982939593265,0.32782,200
1.1111111111111112,0.13326026290250537,-0.006012024048096087,-0.11705410821643301,0.1323055137812169,0.06166915539041671,0.22427308476504648,0.2767,200
1.3888888888888893,0.0824332698739545,-0.006012024048096087,-0.3414829659318639,0.35752289323380176,0.1058867468791346,0.17704998023435,0.23042,200
1.666666666666667,0.047790352272814696,-0.006012024048096087,-1.4092785571142286,1.5685828146378897,0.6887568473963522,0.1639654764678884,0.18948,200
1.9444444444444446,0.02592093935784301,-0.006012024048096087,-2.9939879759519035,2.9939879759519044,4.440892098500626e-16,0.20538160118068163,0.1536,200
2.2222222222222223,0.013134145691021115,-0.006012024048096087,-2.9939879759519035,2.9939879759519044,4.440892098500626e-16,0.2018043547844332,0.12338,200
2.5,0.006209665325776159,-0.006012024048096087,-2.9939879759519035,2.9939879759519044,4.440892098500626e-16,0.2992681246818691,0.0975,200
