phi0,p_ident,true_phi_star,bias,rmse,mc_std,mae_alpha,p_treat,n_reps
-2.5,0.9937903346742238,-0.006012024048096087,0.7866733466933867,2.291120918527217,2.1518318031191996,40.12077478773201,0.9036,200
-2.2222222222222223,0.9868658543089789,-0.006012024048096087,1.1531062124248495,2.2559085035107573,1.9389350786138666,20.59533644985848,0.879,200
-1.9444444444444444,0.974079060642157,-0.006012024048096087,1.2863927855711423,2.223267139916982,1.813314748372481,15.175943244551712,0.8472,200
-1.6666666666666665,0.9522096477271853,-0.006012024048096087,1.3563727454909822,2.214025462219084,1.7499033466576617,12.99220841243448,0.8088,200
-1.3888888888888888,0.9175667301260454,-0.006012024048096087,1.3225250501002004,2.1379596071117524,1.6798210540110818,9.33363832786908,0.7678,200
-1.1111111111111112,0.8667397370974946,-0.006012024048096087,1.1830460921843686,1.9701677078219992,1.5754246223516644,5.732394523719043,0.7214,200
-0.8333333333333333,0.7976716190363569,-0.006012024048096087,0.8196793587174348,1.626996781075,1.4054338385427418,4.084999660887749,0.6668,200
-0.5555555555555554,0.7107426392460279,-0.006012024048096087,0.6183366733466933,1.3981199442668402,1.2539534030223203,2.654766005769127,0.6122,200
-0.2777777777777777,0.6094085245664249,-0.006012024048096087,0.5951302605210419,1.347827946785437,1.2093221850061313,1.854535256118726,0.5586,200
0.0,0.5,-0.006012024048096087,0.3854909819639278,1.0660883411929356,0.993952239321383,1.1733230090025781,0.4924,200
0.2777777777777777,0.3905914754335751,-0.006012024048096087,0.023927855711422686,0.23294711928696354,0.23171495011144225,0.6264755188043591,0.4352,200
0.5555555555555558,0.2892573607539719,-0.006012024048096087,-0.002885771543086311,0.11246824363741185,0.11243121519171331,0.6022505800579353,0.3784,200
0.8333333333333335,0.20232838096364303,-0.006012024048096087,-0.01989979959919853,0.2561926543950064,0.25541862528380915,0.4982038467953987,0.3218,200
1.1111111111111112,0.13326026290250537,-0.006012024048096087,-0.1477154308617236,0.253360988304072,0.20584446040579157,0.4193255317487604,0.2762,200
1.3888888888888893,0.0824332698739545,-0.006012024048096087,-0.5313426853707416,0.7617535775943948,0.545841976840247,0.46118557670439986,0.2306,200
1.666666666666667,0.047790352272814696,-0.006012024048096087,-1.7956713426853708,2.1274173815314446,1.140819505575104,0.4346077871868397,0.1942,200
1.9444444444444446,0.02592093935784301,-0.006012024048096087,-2.821382765531062,2.879201564215841,0.5741088204750368,0.4846517419499253,0.16,200
2.2222222222222223,0.013134145691021115,-0.006012024048096087,-2.972645290581162,2.980543855091182,0.21684475669804817,0.8193869935283544,0.1288,200
2.5,0.006209665325776159,-0.006012024048096087,-2.9939879759519035,2.9939879759519044,4.440892098500626e-16,1.330342976714249,0.0996,200
