phi0,p_ident,true_phi_star,rmse,bias,mc_std,boot_se,coverage,ci_width,n_reps
0.0,0.5,-0.006012024048096087,2.128897359445105,1.5327054108216436,1.4849473992283873,1.569289972823445,0.93,3.9472124248496994,100
0.16666666666666666,0.36944134018176367,-0.006012024048096087,2.18204472719722,1.275390781563126,1.7794271992320043,1.7118918548072548,0.93,4.564409819639279,100
0.3333333333333333,0.2524925375469229,-0.006012024048096087,2.4586893975449984,1.1492585170340681,2.184508916596991,1.9769569906645514,0.94,5.217270541082164,100
0.5,0.15865525393145707,-0.006012024048096087,2.356808819794468,0.031142284569138243,2.368475188461211,2.210530418603517,0.98,5.7854218436873746,100
0.6666666666666666,0.09121121972586788,-0.006012024048096087,2.647086746728532,-0.6010821643286574,2.5909259833004175,2.298425387943975,0.95,5.716704408817635,100
0.8333333333333333,0.047790352272814696,-0.006012024048096087,2.845248801282911,-1.0238476953907818,2.668025532158061,2.46574053293878,0.99,5.912948897795591,100
1.0,0.02275013194817921,-0.006012024048096087,2.8598565844489,-1.5186372745490981,2.435536676171306,2.3659423533859205,0.98,5.803163326653308,100
1.1666666666666665,0.009815328628645315,-0.006012024048096087,2.935124816925674,-2.3905010020040076,1.7116542445481204,1.9227254963855485,0.87,5.167049098196393,100
1.3333333333333333,0.003830380567589775,-0.006012024048096087,2.994108455455539,-2.9339879759519025,0.5999999999999999,1.4163265665275546,0.73,4.188844689378757,100
1.5,0.0013498980316301035,-0.006012024048096087,2.9943493999201047,-2.813987975951903,1.0286796479865914,1.115134398661569,0.59,3.303679358717434,100
