phi0,p_ident,true_phi_star,rmse,bias,mc_std,boot_se,coverage,ci_width,n_reps
0.0,0.5,-0.006012024048096087,0.1665450029363241,0.11170340681362712,0.12415202032507362,0.13978216106363953,0.86,0.5126603206412825,100
0.2777777777777778,0.390591475433575,-0.006012024048096087,0.2318522088859064,0.18288577154308597,0.14322491083326283,0.13670965666265497,0.72,0.4921442885771542,100
0.5555555555555556,0.2892573607539719,-0.006012024048096087,0.26667376159064293,0.2327855711422844,0.13075450429255359,0.13642870630139922,0.47,0.5017034068136271,100
0.8333333333333334,0.20232838096364314,-0.006012024048096087,0.34134957455674675,0.31418837675350686,0.1341083383960216,0.13425369255498104,0.27,0.4996773547094188,100
1.1111111111111112,0.13326026290250537,-0.006012024048096087,0.4164193640148825,0.3930661322645289,0.1381848505531158,0.13788357825855418,0.24,0.5052414829659319,100
1.3888888888888888,0.0824332698739546,-0.006012024048096087,0.4977883302308009,0.47651302605210405,0.14469947162139457,0.13918251353067237,0.07,0.5072104208416833,100
1.6666666666666667,0.047790352272814696,-0.006012024048096087,0.6334368508439117,0.6157515030060119,0.14938368521012907,0.1465392229186767,0.02,0.5321633266533066,100
1.9444444444444446,0.02592093935784301,-0.006012024048096087,0.7646093980695886,0.7441683366733467,0.17650083214146528,0.15408332153914095,0.01,0.5666152304609218,100
2.2222222222222223,0.013134145691021115,-0.006012024048096087,0.9246430441947172,0.9036072144288575,0.19709701556656511,0.16697683498177135,0.0,0.6162775551102203,100
2.5,0.006209665325776159,-0.006012024048096087,1.0967929097732936,1.0774749498997993,0.20597739227565556,0.17966034504367678,0.0,0.659062124248497,100
